document_id,source_file,fold,characters,entity_mentions,relation_instances
23,test2.json,2,8134,58,11
365,STIXnet_Example.txt,4,1769,37,13
366,WinDealer.txt,0,16124,40,6
370,APT1.txt,4,2113,45,14
371,APT12.txt,2,894,14,8
372,APT18.txt,0,980,20,4
373,APT19.txt,2,2296,33,6
374,APT28.txt,1,2710,39,17
375,APT3.txt,3,1780,32,10
376,APT32.txt,1,1744,36,17
377,APT33.txt,2,1571,34,8
378,APT37.txt,4,1944,37,10
381,APT38.txt,2,1494,29,14
386,APT39.txt,1,1183,30,15
387,APT41.txt,0,1683,40,19
388,FIN10.txt,4,1217,25,9
389,FIN4.txt,4,1726,29,14
390,FIN5.txt,1,1396,30,12
391,FIN6.txt,3,1686,28,11
392,FIN7.txt,3,1572,28,9
393,FIN8.txt,4,1320,27,9
395,TA459.txt,4,502,13,7
396,PLATINUM.txt,1,1161,18,6
397,MuddyWater.txt,0,1446,30,14
398,Inception.txt,2,1229,20,9
399,Blue_Mockingbird.txt,1,1535,26,15
400,Andariel.txt,0,2023,31,11
401,Dragonfly.txt,0,1470,34,20
402,GALLIUM.txt,0,1300,26,10
403,Whitefly.txt,0,1101,18,7
405,Mustang_Panda.txt,4,1007,24,12
406,ZIRCONIUM.txt,3,989,23,14
407,Nomadic_Octopus.txt,1,935,17,9
408,LazyScripter.txt,3,684,16,7
409,Stealth_Falcon.txt,1,843,14,7
410,ALLANITE.txt,3,815,14,6
411,AXIOM.txt,0,843,15,5
412,Cobalt_Group.txt,2,1421,30,21
413,CopyKittens.txt,3,858,28,11
414,DarkHydrus.txt,4,1131,21,11
415,Deep_Panda.txt,0,1498,35,13
416,Elderwood.txt,1,1379,17,6
417,Higaisa.txt,0,970,25,12
418,Honeybee.txt,2,842,18,10
419,Fox_Kitten.txt,3,1047,29,16
420,Gallmaker.txt,1,723,12,4
421,Leviathan.txt,3,1430,37,25
422,Windigo.txt,2,920,20,15
423,Wizard_Spider.txt,1,1391,25,10
424,Silent_Librarian.txt,2,2122,25,7
425,Rancor.txt,4,776,18,9
426,Naikon.txt,3,1783,32,9
