system,outer_fold,seed,entity_precision,entity_recall,entity_f1,relation_precision,relation_recall,relation_f1
stixnet-only,0,42,0.8921,0.923764,0.9077,0.7072,0.706247,0.7067
stixnet-only,0,123,0.9009,0.938553,0.9193,0.6811,0.735016,0.707
stixnet-only,0,2024,0.9037,0.935178,0.9192,0.6869,0.723674,0.7048
stixnet-only,0,3407,0.8964,0.939368,0.9174,0.6797,0.729203,0.7036
stixnet-only,0,777,0.9054,0.927639,0.9164,0.705,0.747654,0.7257
stixnet-only,1,42,0.8974,0.927762,0.9123,0.7053,0.747846,0.726
stixnet-only,1,123,0.9046,0.949052,0.9263,0.7044,0.734085,0.7189
stixnet-only,1,2024,0.9121,0.943758,0.9277,0.7327,0.757216,0.7448
stixnet-only,1,3407,0.9141,0.940113,0.9269,0.7123,0.756075,0.7335
stixnet-only,1,777,0.9167,0.941668,0.929,0.7125,0.758446,0.7348
stixnet-only,2,42,0.9167,0.924333,0.9205,0.7048,0.743027,0.7234
stixnet-only,2,123,0.8958,0.922713,0.9091,0.7302,0.76192,0.7457
stixnet-only,2,2024,0.9156,0.921403,0.9185,0.7141,0.772998,0.7424
stixnet-only,2,3407,0.8906,0.931893,0.9108,0.7118,0.766873,0.7383
stixnet-only,2,777,0.9214,0.933024,0.9272,0.7254,0.774016,0.7489
stixnet-only,3,42,0.9207,0.943188,0.9318,0.7372,0.750449,0.7438
stixnet-only,3,123,0.9314,0.94514,0.9382,0.7265,0.778955,0.7518
stixnet-only,3,2024,0.907,0.939564,0.923,0.7392,0.766775,0.7527
stixnet-only,3,3407,0.9176,0.944139,0.9307,0.7316,0.780978,0.7555
stixnet-only,3,777,0.9067,0.937893,0.922,0.7535,0.786438,0.7696
stixnet-only,4,42,0.8999,0.940386,0.9197,0.7276,0.760022,0.7435
stixnet-only,4,123,0.901,0.924881,0.9128,0.7114,0.761284,0.7355
stixnet-only,4,2024,0.9186,0.924622,0.9216,0.7265,0.769645,0.7475
stixnet-only,4,3407,0.915,0.925309,0.9201,0.7286,0.77405,0.7506
stixnet-only,4,777,0.9223,0.939609,0.9309,0.7411,0.754992,0.748
hybrid,0,42,0.9089,0.91984,0.9143,0.7246,0.737642,0.7311
hybrid,0,123,0.8916,0.928959,0.9099,0.716,0.748642,0.732
hybrid,0,2024,0.9003,0.926337,0.9131,0.7281,0.753519,0.7406
hybrid,0,3407,0.8957,0.933544,0.9142,0.7311,0.738612,0.7348
hybrid,0,777,0.8959,0.921333,0.9084,0.7326,0.761912,0.747
hybrid,1,42,0.9218,0.946509,0.934,0.7305,0.79002,0.7591
hybrid,1,123,0.9285,0.953957,0.9411,0.7389,0.775873,0.7569
hybrid,1,2024,0.9164,0.958739,0.9371,0.7387,0.784311,0.7608
hybrid,1,3407,0.9263,0.955491,0.9407,0.7548,0.788644,0.7714
hybrid,1,777,0.9242,0.944685,0.9343,0.7426,0.786551,0.7639
hybrid,2,42,0.9173,0.935652,0.9264,0.7363,0.766516,0.7511
hybrid,2,123,0.923,0.934034,0.9285,0.7516,0.790507,0.7706
hybrid,2,2024,0.9179,0.946393,0.9319,0.7617,0.774781,0.7682
hybrid,2,3407,0.9284,0.935458,0.9319,0.7599,0.796661,0.7778
hybrid,2,777,0.9224,0.946277,0.9342,0.7696,0.78137,0.7754
hybrid,3,42,0.9083,0.937518,0.9227,0.76,0.807641,0.7831
hybrid,3,123,0.9257,0.943341,0.9344,0.778,0.78705,0.7825
hybrid,3,2024,0.9305,0.950152,0.9402,0.7613,0.807321,0.7836
hybrid,3,3407,0.9342,0.942416,0.9383,0.7617,0.817296,0.7885
hybrid,3,777,0.9321,0.956197,0.944,0.7879,0.799485,0.7937
hybrid,4,42,0.9034,0.936275,0.9195,0.7318,0.785495,0.7577
hybrid,4,123,0.9287,0.932953,0.9308,0.7301,0.773119,0.751
hybrid,4,2024,0.9292,0.947727,0.9384,0.7627,0.77627,0.7694
hybrid,4,3407,0.9032,0.934199,0.9184,0.7684,0.788377,0.7783
hybrid,4,777,0.9029,0.939397,0.9208,0.7437,0.778771,0.7608
