system,fold,entity_type,precision,recall,f1,tp,fp,fn,support,predicted
conservative_hybrid,1,attack-pattern,0.4126984126984127,0.7222222222222222,0.5252525252525252,26,37,10,36,63
conservative_hybrid,1,campaign,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,1,domain-name,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,1,identity,0.47619047619047616,0.45454545454545453,0.46511627906976744,10,11,12,22,21
conservative_hybrid,1,indicator,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,1,intrusion-set,0.984375,0.9402985074626866,0.9618320610687023,126,2,8,134,128
conservative_hybrid,1,location,0.7021276595744681,0.9166666666666666,0.7951807228915662,33,14,3,36,47
conservative_hybrid,1,malware,0.375,0.3333333333333333,0.35294117647058826,6,10,12,18,16
conservative_hybrid,1,tool,0.4186046511627907,0.5454545454545454,0.47368421052631576,18,25,15,33,43
conservative_hybrid,1,vulnerability,0.5,0.2,0.28571428571428575,1,1,4,5,2
conservative_hybrid,2,attack-pattern,0.34615384615384615,0.7105263157894737,0.4655172413793104,27,51,11,38,78
conservative_hybrid,2,campaign,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,2,domain-name,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,identity,0.23529411764705882,0.18181818181818182,0.20512820512820512,4,13,18,22,17
conservative_hybrid,2,indicator,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,intrusion-set,0.984375,0.9921259842519685,0.988235294117647,126,2,1,127,128
conservative_hybrid,2,location,0.8,0.9333333333333333,0.8615384615384616,28,7,2,30,35
conservative_hybrid,2,malware,0.5833333333333334,0.5384615384615384,0.5599999999999999,7,5,6,13,12
conservative_hybrid,2,tool,0.45652173913043476,0.7241379310344828,0.5599999999999999,21,25,8,29,46
conservative_hybrid,2,vulnerability,1.0,0.5,0.6666666666666666,1,0,1,2,1
conservative_hybrid,3,attack-pattern,0.5769230769230769,0.6666666666666666,0.6185567010309277,30,22,15,45,52
conservative_hybrid,3,campaign,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,3,domain-name,0.2,1.0,0.33333333333333337,1,4,0,1,5
conservative_hybrid,3,identity,0.3125,0.22727272727272727,0.2631578947368421,5,11,17,22,16
conservative_hybrid,3,indicator,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,3,intrusion-set,0.9508196721311475,0.8992248062015504,0.9243027888446215,116,6,13,129,122
conservative_hybrid,3,location,0.8,1.0,0.888888888888889,28,7,0,28,35
conservative_hybrid,3,malware,0.75,0.5454545454545454,0.631578947368421,6,2,5,11,8
conservative_hybrid,3,tool,0.4727272727272727,0.7222222222222222,0.5714285714285714,26,29,10,36,55
conservative_hybrid,3,vulnerability,0.6666666666666666,1.0,0.8,2,1,0,2,3
conservative_hybrid,4,attack-pattern,0.2982456140350877,0.5,0.3736263736263736,17,40,17,34,57
conservative_hybrid,4,campaign,0.0,0.0,0.0,0,0,4,4,0
conservative_hybrid,4,domain-name,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,identity,0.11538461538461539,0.4,0.1791044776119403,6,46,9,15,52
conservative_hybrid,4,indicator,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,intrusion-set,0.992,0.992,0.992,124,1,1,125,125
conservative_hybrid,4,location,0.7380952380952381,0.9393939393939394,0.8266666666666667,31,11,2,33,42
conservative_hybrid,4,malware,0.5294117647058824,0.8181818181818182,0.6428571428571428,9,8,2,11,17
conservative_hybrid,4,tool,0.5384615384615384,0.8076923076923077,0.6461538461538461,21,18,5,26,39
conservative_hybrid,4,vulnerability,0.25,0.5,0.3333333333333333,1,3,1,2,4
conservative_hybrid,5,attack-pattern,0.32894736842105265,0.6097560975609756,0.42735042735042733,25,51,16,41,76
conservative_hybrid,5,campaign,N/A,N/A,N/A,0,2,0,0,2
conservative_hybrid,5,domain-name,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,5,identity,0.225,0.4090909090909091,0.2903225806451613,9,31,13,22,40
conservative_hybrid,5,indicator,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,5,intrusion-set,0.7091836734693877,0.9928571428571429,0.8273809523809523,139,57,1,140,196
conservative_hybrid,5,location,0.45614035087719296,0.896551724137931,0.6046511627906976,26,31,3,29,57
conservative_hybrid,5,malware,0.21739130434782608,0.2777777777777778,0.24390243902439024,5,18,13,18,23
conservative_hybrid,5,tool,0.4,0.75,0.5217391304347827,18,27,6,24,45
conservative_hybrid,5,vulnerability,0.6666666666666666,1.0,0.8,2,1,0,2,3
