system,fold,relation_type,precision,recall,f1,tp,fp,fn,support,predicted
conservative_hybrid,1,attributed-to,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,1,authored-by,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,1,deliver,0.0,0.0,0.0,0,5,3,3,5
conservative_hybrid,1,drops,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,1,have,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,1,indicates,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,1,located-at,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,1,originates-from,0.3333333333333333,0.8333333333333334,0.47619047619047616,5,10,1,6,15
conservative_hybrid,1,targeted-by,0.0,0.0,0.0,0,0,9,9,0
conservative_hybrid,1,targets,0.25,0.1,0.14285714285714288,3,9,27,30,12
conservative_hybrid,1,used-by,0.3,0.16666666666666666,0.21428571428571427,3,7,15,18,10
conservative_hybrid,1,used-in,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,1,uses,0.25925925925925924,0.3620689655172414,0.302158273381295,21,60,37,58,81
conservative_hybrid,2,attributed-to,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,authored-by,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,deliver,0.0,0.0,0.0,0,6,3,3,6
conservative_hybrid,2,drops,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,have,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,indicates,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,located-at,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,originates-from,1.0,0.5555555555555556,0.7142857142857143,5,0,4,9,5
conservative_hybrid,2,targeted-by,0.0,0.0,0.0,0,1,6,6,1
conservative_hybrid,2,targets,0.4,0.17391304347826086,0.24242424242424243,4,6,19,23,10
conservative_hybrid,2,used-by,0.0,0.0,0.0,0,4,20,20,4
conservative_hybrid,2,used-in,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,2,uses,0.13953488372093023,0.26666666666666666,0.183206106870229,12,74,33,45,86
conservative_hybrid,3,attributed-to,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,3,authored-by,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,3,deliver,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,3,drops,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,3,have,N/A,N/A,N/A,0,2,0,0,2
conservative_hybrid,3,indicates,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,3,located-at,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,3,originates-from,0.6666666666666666,0.4,0.5,2,1,3,5,3
conservative_hybrid,3,targeted-by,0.15384615384615385,0.2857142857142857,0.2,2,11,5,7,13
conservative_hybrid,3,targets,0.08333333333333333,0.03125,0.045454545454545456,1,11,31,32,12
conservative_hybrid,3,used-by,0.058823529411764705,0.1111111111111111,0.07692307692307691,2,32,16,18,34
conservative_hybrid,3,used-in,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,3,uses,0.3333333333333333,0.23529411764705882,0.27586206896551724,16,32,52,68,48
conservative_hybrid,4,attributed-to,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,authored-by,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,deliver,0.0,0.0,0.0,0,10,2,2,10
conservative_hybrid,4,drops,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,have,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,indicates,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,4,located-at,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,4,originates-from,0.23529411764705882,0.6666666666666666,0.3478260869565218,4,13,2,6,17
conservative_hybrid,4,targeted-by,0.0,0.0,0.0,0,2,4,4,2
conservative_hybrid,4,targets,0.06666666666666667,0.038461538461538464,0.04878048780487805,1,14,25,26,15
conservative_hybrid,4,used-by,0.024390243902439025,0.0625,0.03508771929824562,1,40,15,16,41
conservative_hybrid,4,used-in,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,4,uses,0.18867924528301888,0.5660377358490566,0.2830188679245283,30,129,23,53,159
conservative_hybrid,5,attributed-to,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,5,authored-by,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,5,deliver,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,5,drops,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,5,have,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,5,indicates,0.0,0.0,0.0,0,0,1,1,0
conservative_hybrid,5,located-at,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,5,originates-from,0.6666666666666666,0.5,0.5714285714285715,2,1,2,4,3
conservative_hybrid,5,targeted-by,0.0,0.0,0.0,0,0,2,2,0
conservative_hybrid,5,targets,0.0,0.0,0.0,0,0,17,17,0
conservative_hybrid,5,used-by,0.0,0.0,0.0,0,0,13,13,0
conservative_hybrid,5,used-in,N/A,N/A,N/A,0,0,0,0,0
conservative_hybrid,5,uses,0.34782608695652173,0.37209302325581395,0.35955056179775285,16,30,27,43,46
